customer_id,age_group,customer_tenure_months,customer_tier,industry,region,annual_spend_usd,engagement_score,preferred_channel,interaction_date,interaction_channel,issue_category,first_contact_resolution,response_time_hours,satisfaction_score,escalation_level,sentiment_score,idea_submitted_by,idea_submission_date,idea_category,expected_impact,development_timeline_months,required_budget_usd,risk_level,customer_driven_idea,implementation_status,implementation_start_date,implementation_completion_date,actual_budget_usd,success_metrics,roi_multiplier,customer_impact_score,business_value_score,innovation_efficiency_ratio,customer_loyalty_index,employee_engagement_score,market_impact_scope,total_innovation_value,customer_lifetime_value,efficiency_score,idea_to_implementation_days,budget_variance,performance_tier
CUST_001,18-25,4,Gold,Healthcare,Italy,11548.93,95,Email,2025-07-31,Help Desk,Billing,False,2.8,1,1,-0.53,Customer,2025-07-26,Service Innovation,High,23,65338.56,High,False,Completed,2025-08-22,2025-09-22,79222.09,Exceeded Targets,3.91,3.0,7.0,0.37,3,4,Regional,45156.32,3849.64,0.54,58.0,0.212,Medium Performance
CUST_002,18-25,12,Platinum,Technology,Georgia,18269.48,45,In-Person,2025-05-09,Chat,Billing,False,38.8,4,1,0.1,Management,2025-06-24,Service Innovation,High,23,7885.96,High,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.78,2,7,Regional,0.0,18269.48,0.48,,6.031,Medium Performance
CUST_003,46-55,82,Gold,Healthcare,Rwanda,18823.96,27,Chat,2025-05-28,Email,Complaint,True,38.7,2,1,-0.08,Management,2025-09-21,Service Innovation,High,22,33103.99,Low,True,In Development,,,55445.15,,2.81,5.0,6.0,0.42,2,4,Global,0.0,128630.39,0.3,,0.675,Low Performance
CUST_004,36-45,28,Platinum,Retail,Montserrat,44291.82,83,Social Media,2025-04-03,Phone,Product Feature,True,18.1,5,3,-0.47,AI Analysis,2025-11-12,Service Innovation,Medium,12,22712.76,Low,False,Completed,2025-11-20,2025-11-20,18919.31,Exceeded Targets,1.19,3.0,7.0,0.58,7,7,Global,52707.27,103347.58,0.7,8.0,-0.167,High Performance
CUST_005,46-55,68,Gold,Education,Greenland,43108.6,2,Email,2025-10-11,Help Desk,Product Feature,False,8.5,4,1,-0.09,Management,2025-07-13,Service Innovation,High,17,91350.16,High,False,Approved,,,55445.15,,2.81,5.0,6.0,0.22,3,9,Global,0.0,244282.07,0.18,,-0.393,Low Performance
CUST_006,18-25,77,Gold,Retail,Barbados,1464.1,47,Chat,2025-08-24,Phone,Billing,True,63.3,1,1,0.46,Customer,2025-07-10,Service Innovation,High,5,66315.33,High,True,Completed,2025-10-04,2025-10-30,93551.24,Below Targets,4.84,9.0,4.0,0.67,7,6,Regional,7086.24,9394.64,0.61,112.0,0.411,Medium Performance
CUST_007,55+,58,Basic,Healthcare,Liberia,11622.52,44,Email,2025-07-23,Help Desk,Complaint,True,42.6,1,1,0.42,Customer,2025-10-19,Process Optimization,High,2,86103.9,Low,True,Completed,2025-10-19,2025-10-31,98140.38,Met Targets,3.76,10.0,10.0,0.48,8,7,Local,43700.68,56175.51,0.57,12.0,0.14,Medium Performance
CUST_008,18-25,13,Platinum,Finance,Lithuania,21467.14,60,Email,2025-03-30,Email,Billing,False,52.6,1,1,-0.62,AI Analysis,2025-06-05,Process Optimization,Medium,6,28575.97,Low,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.14,9,1,Local,0.0,23256.07,0.55,,0.94,Medium Performance
CUST_009,26-35,22,Platinum,Retail,Comoros,24327.24,52,Email,2025-06-29,Phone,Account Management,True,70.9,3,2,-0.43,AI Analysis,2025-08-20,Process Optimization,High,10,22552.39,Low,True,Under Review,,,55445.15,,2.81,5.0,6.0,0.14,8,9,Global,0.0,44599.94,0.49,,1.459,Medium Performance
CUST_010,26-35,8,Basic,Healthcare,Croatia,3891.81,9,Phone,2025-05-14,Social Media,Billing,True,41.9,1,3,-0.84,Management,2025-06-02,Customer Experience,High,22,71902.99,Low,False,Completed,2025-08-15,2025-10-01,91329.97,Partially Met,2.56,2.0,1.0,0.47,10,2,Local,9963.03,2594.54,0.52,121.0,0.27,Medium Performance
